"Day ","Location ","Product ","Unit Sold ","Revenue ","COGS "
"49","Los Angeles","Shampoo","734","29360","12155.00"
"49","New York","Mouthwash","976","82960","12960.00"
"49","New York","Body Wash  ","630","51660","8460.00"
"49","New York","Shampoo","595","53550","9853.00"
"48","Los Angeles","Mouthwash","407","13431","5405.00"
"48","Los Angeles","Body Wash  ","382","13752","5165.00"
"48","Los Angeles","Shampoo","812","32480","13447.00"
"48","New York","Mouthwash","905","76925","12018.00"
"48","New York","Body Wash  ","900","73800","12169.00"
"48","New York","Shampoo","717","64530","11874.00"
"47","Los Angeles","Mouthwash","593","19569","7783.00"
"47","Los Angeles","Body Wash  ","470","16920","6412.00"
"47","Los Angeles","Shampoo","801","32040","13265.00"
"47","New York","Mouthwash","1144","97240","15014.00"
"47","New York","Body Wash  ","809","66338","11036.00"
"47","New York","Shampoo","654","58860","10830.00"
"46","Los Angeles","Mouthwash","520","17160","6824.00"
"46","Los Angeles","Body Wash  ","413","14868","5701.00"
"46","Los Angeles","Shampoo","745","29800","12337.00"
"46","New York","Mouthwash","1010","85850","13255.00"
"46","New York","Body Wash  ","810","66420","11180.00"
"46","New York","Shampoo","606","54540","10035.00"
"45","Los Angeles","Mouthwash","508","16764","6667.00"
"45","Los Angeles","Body Wash  ","481","17316","6639.00"
"45","Los Angeles","Shampoo","808","32320","13381.00"
"45","New York","Mouthwash","1030","87550","13518.00"
"45","New York","Body Wash  ","705","57810","9731.00"
"45","New York","Shampoo","600","54000","9936.00"
"44","Los Angeles","Mouthwash","538","16140","7061.00"
"44","Los Angeles","Body Wash  ","461","16135","6365.00"
"44","Los Angeles","Shampoo","765","29070","12669.00"
"44","New York","Mouthwash","584","61320","7664.00"
"44","New York","Body Wash  ","484","48400","6683.00"
"44","New York","Shampoo","343","37730","5680.00"
"43","Los Angeles","Mouthwash","588","17640","7717.00"
"43","Los Angeles","Body Wash  ","462","16170","6379.00"
"43","Los Angeles","Shampoo","798","30324","13215.00"
"43","New York","Mouthwash","652","68460","8557.00"
"43","New York","Body Wash  ","518","51800","7152.00"
"43","New York","Shampoo","401","44110","6641.00"
"42","Los Angeles","Mouthwash","565","16950","7415.00"
"42","Los Angeles","Body Wash  ","447","15645","6208.00"
"42","Los Angeles","Shampoo","822","31236","13492.00"
"42","New York","Mouthwash","633","66465","8308.00"
"42","New York","Body Wash  ","513","51300","7124.00"
"42","New York","Shampoo","375","41250","6155.00"
"41","Los Angeles","Mouthwash","602","18060","7901.00"
"41","Los Angeles","Body Wash  ","438","15330","6118.00"
"41","Los Angeles","Shampoo","824","31312","13525.00"
"41","New York","Mouthwash","710","74550","9318.00"
"41","New York","Body Wash  ","520","52000","7264.00"
"41","New York","Shampoo","430","47300","7058.00"
"40","Los Angeles","Mouthwash","612","18360","8032.00"
"40","Los Angeles","Body Wash  ","482","16870","6785.00"
"40","Los Angeles","Shampoo","742","28196","12139.00"
"40","New York","Mouthwash","1719","103140","22560.00"
"40","New York","Body Wash  ","1126","69812","15850.00"
"40","New York","Shampoo","1011","65715","16540.00"
"39","Los Angeles","Mouthwash","2348","70440","30670.00"
"39","Los Angeles","Body Wash  ","1780","62300","25077.00"
"39","Los Angeles","Shampoo","1846","70148","30008.00"
"39","New York","Mouthwash","2931","175860","38285.00"
"39","New York","Body Wash  ","2002","124124","28204.00"
"39","New York","Shampoo","1872","121680","30431.00"
"38","Los Angeles","Mouthwash","2196","65880","28302.00"
"38","Los Angeles","Body Wash  ","1651","57785","23573.00"
"38","Los Angeles","Shampoo","1910","72580","31048.00"
"38","New York","Mouthwash","3021","181260","38935.00"
"38","New York","Body Wash  ","1945","120590","27771.00"
"38","New York","Shampoo","1872","121680","30431.00"
